ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0xbb,2,0x00,0xbb,"0x00,0xbb",TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_dh_dss,sha256,camellia_128_cbc,187
0xbc,2,0x00,0xbc,"0x00,0xbc",TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,N,[RFC5932],tls_dh_rsa,sha256,camellia_128_cbc,188
0xc049,2,0xc0,0x49,"0xc0,0x49",TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_ecdhe_ecdsa,sha384,aria_256_cbc,49225
0xc04b,2,0xc0,0x4b,"0xc0,0x4b",TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_ecdh_ecdsa,sha384,aria_256_cbc,49227
0x20,2,0x00,0x20,"0x00,0x20",TLS_KRB5_WITH_RC4_128_SHA,N,N,[RFC2712][RFC6347],tls_krb5,sha,rc4_128,32
0xc04f,2,0xc0,0x4f,"0xc0,0x4f",TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,Y,N,[RFC6209],tls_ecdh_rsa,sha384,aria_256_cbc,49231
0xc05b,2,0xc0,0x5b,"0xc0,0x5b",TLS_DH_anon_WITH_ARIA_256_GCM_SHA384,Y,N,[RFC6209],tls_dh_anon,sha384,aria_256_gcm,49243
0x21,2,0x00,0x21,"0x00,0x21",TLS_KRB5_WITH_IDEA_CBC_SHA,Y,N,[RFC2712],tls_krb5,sha,idea_cbc,33
0xc058,2,0xc0,0x58,"0xc0,0x58",TLS_DH_DSS_WITH_ARIA_128_GCM_SHA256,Y,N,[RFC6209],tls_dh_dss,sha256,aria_128_gcm,49240
0x22,2,0x00,0x22,"0x00,0x22",TLS_KRB5_WITH_DES_CBC_MD5,Y,N,[RFC2712],tls_krb5,md5,des_cbc,34
0xc059,2,0xc0,0x59,"0xc0,0x59",TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384,Y,N,[RFC6209],tls_dh_dss,sha384,aria_256_gcm,49241
0xc055,2,0xc0,0x55,"0xc0,0x55",TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384,Y,N,[RFC6209],tls_dh_rsa,sha384,aria_256_gcm,49237
